code3,Month,InvoiceCount,SalesAmount,StoreCount,InvoiceCount_AVG,SalesAmount_AVG,StoreCount_AVG
A6400012058,5|10|9|2|1|4|6|7|11|8|3|12,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|30152,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|6010054,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|5,30152.0,6010054.0,5.0
A6400012059,2|6|10|1|9|4|12|3|8|11|5|7,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400013010,,,,,0.0,0.0,0.0
A6400013009,4|5|3|6|10|8|12|9|2|1|7|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400013010,,,,,0.0,0.0,0.0
A6400013009,4|2|6|11|1|8|3|7|9|5|10|12,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400014039,10|2|7|1|8|12|4|6|5|3|9|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400014039,11|6|10|1|3|9|4|8|2|5|12|7,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400014051,,,,,0.0,0.0,0.0
A6400014052,,,,,0.0,0.0,0.0
A6400014054,,,,,0.0,0.0,0.0
A6400013001,,,,,0.0,0.0,0.0
A6400013004,,,,,0.0,0.0,0.0
A6400013012,,,,,0.0,0.0,0.0
A6400013013,,,,,0.0,0.0,0.0
A6400013031,,,,,0.0,0.0,0.0
A6400013035,,,,,0.0,0.0,0.0
A6400012060,1|4|2|6|9|3|5|7|11|10|8|12,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400012061,1|6|5|10|9|8|4|12|2|7|3|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400012062,3|6|9|5|8|2|7|10|12|1|4|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
